Title ID	Name	Author	Version	Last direct link	Readme Link
PSV001	VitaShell	TheFloW	1.97	https://github.com/TheOfficialFloW/VitaShell/releases/download/1.97/VitaShell.vpk	https://github.com/TheOfficialFloW/VitaShell#vitashell
PSV002	Adrenaline	TheFloW	v6.7	https://github.com/TheOfficialFloW/Adrenaline/releases/download/v6.7/Adrenaline.vpk	https://github.com/TheOfficialFloW/Adrenaline#661-adrenaline
PSV003	Autoplugin	theheroGAC	3.33	https://github.com/theheroGAC/Autoplugin/releases/download/3.33/Autoplugin.vpk	https://github.com/theheroGAC/Autoplugin#autoplugin
PSV004	vhbb	devnoname120	0.82	https://github.com/devnoname120/vhbb/releases/download/0.82/VitaHBBrowser.vpk	https://github.com/devnoname120/vhbb#vita-homebrew-browser
PSV005	pkgj	blastrock	v0.37	https://github.com/blastrock/pkgj/releases/download/v0.37/pkgj.vpk	https://github.com/blastrock/pkgj#pkgj
PSV006	enso 3.60	henkaku	v1.1	https://github.com/henkaku/enso/releases/download/v1.1/enso.vpk	https://enso.henkaku.xyz/
PSV007	enso 3.65	TheFloW	v1.1	https://github.com/TheOfficialFloW/enso/releases/download/v1.1/enso.vpk	https://github.com/TheOfficialFloW/enso/blob/master/README.md
PSV008	psvgamesd	motoharu-gosuto	v1.0	https://github.com/motoharu-gosuto/psvgamesd/releases/download/v1.0/psvgc.vpk	https://github.com/motoharu-gosuto/psvgamesd#ps-vita---virtual-game-card
PSV009	CATSFC-libretro	skogaby	1.3.0	https://github.com/skogaby/CATSFC-libretro/releases/download/1.3.0/CATSFC-libretro-vita-1.3.0.vpk	https://github.com/skogaby/CATSFC-libretro/blob/master/README.md
PSV010	retroarch	retroarch	1.7.4	https://buildbot.libretro.com/stable/1.7.4/playstation/vita/RetroArch.vpk	https://www.retroarch.com/?page=platforms#
